sym,t,dirn,rv,vratio,ats,pierce,tier,m1,m2,m4,m8,m16,m32,day
TRUMP,1786290300000,1,0.0020432889068155635,8.943846209438462,3.257653194450362,0.0028512698096942977,HIGH,54.43528925619907,79.559256198348,88.15429752066109,12.121239669422458,0.8815702479346239,-124.73826446281004,08-09
VVV,1786290300000,1,0.004420596438101901,9.27969933102992,1.752588354005325,0.0046900315511213195,HIGH,62.181714770798024,-49.87261460101834,-83.8284719864166,79.15964346349867,15.492410865874668,-54.96599320882838,08-09
PEOPLE,1786290300000,1,0.006632245156375613,7.6686209909829115,2.2063160940466444,0.002304944105105357,MID,-42.44830177854364,-221.45002294893933,327.02960986804396,733.2258232931712,471.60792312105525,193.9257659208248,08-09
JUP,1786290300000,1,0.0023302459451422777,11.18511263467189,3.564167101964353,0.00535217298223079,HIGH,-125.87885699096142,-82.28502392344481,-88.66460925039756,-146.08087719298118,-183.295124933545,-360.86024986709157,08-09
kFLOKI,1786290300000,1,0.001492006079183318,5.079156373139509,5.054892805110731,0.0013994495498436711,MID,-5.73,52.98662239619793,55.782652034111635,59.51069155133102,106.11118551656676,17.570246982618684,08-09
FARTCOIN,1786290300000,1,0.002897356259105174,5.454165017141426,1.2877055630731868,0.00044189129474132225,HIGH,-122.63316888463939,-72.6368450849198,71.4702058672153,125.14272994632775,-46.16820307330306,-257.18209911035797,08-09
MOODENG,1786291200000,1,0.004843250781550099,158.0155473487439,3.1709422698999,0.016233106391626707,MID,210.69202294474317,311.8893577476074,397.30592004408584,280.07732428235136,445.1492144682137,-82.62995491207899,08-09
VVV,1786291200000,1,0.004468927306352803,27.251198772457006,1.9257979691299005,0.007129519606178886,HIGH,-121.19565528866453,-152.3798103666241,-122.03847029077109,166.20426042983618,-56.298900126422666,-153.22262536873214,08-09
TRUMP,1786291200000,1,0.00218510675063093,21.35272394752576,3.242850186524824,0.004944946264917296,HIGH,-4.418696564383687,-33.26737214791491,-3.107393128768831,-78.50734067663184,-64.08300288486696,-236.51940466823956,08-09
SUSHI,1786291200000,1,0.001958664827254771,25.149552973275842,11.19322788266976,0.00017988846914914101,MID,71.10534425835905,229.5782417912244,290.80640674710367,355.0359523380764,582.5406044780601,181.55615162975042,08-09
WIF,1786291200000,1,0.0023999130875996207,20.02555726364335,5.908525042987469,0.008323506970937134,HIGH,42.49265086800622,49.38160099200849,-26.396850372004852,-31.908010471205507,47.314915954808,-152.4646376412249,08-09
kPEPE,1786291200000,1,0.0016925754936474378,11.981348050651729,2.893090951133269,0.0013807386952019666,HIGH,-5.73,-2.2829127886930967,35.635046535676864,104.57679076180597,56.31756980351679,-26.41252326783843,08-09
PENGU,1786291200000,1,0.0037605996965942167,24.87646469186499,2.245997561762261,0.020357420357420365,HIGH,216.79705380277443,335.68137021795496,312.81900167657363,81.14700045724699,110.10600060966267,-49.93057918000363,08-09
MOODENG,1786292100000,1,0.005417017650912399,95.34299913372544,4.310681852415328,0.0029083266124105152,MID,31.798024173894728,4.261227215128024,202.3799522370586,49.587282386197,166.07037040647168,-406.8412194170976,08-09
BOME,1786292100000,1,0.006825330020222486,10.870531652763864,1.968777459720813,0.0026212319790300657,MID,86.01311926605442,-163.0039187418082,-58.15463958060273,86.01311926605442,846.1703931847962,1082.0812712975091,08-09
PENGU,1786292100000,1,0.004061830146075357,30.347592637381307,3.1587132783946195,0.014600760456273723,HIGH,163.63450839328576,183.1189208633097,90.19326139088702,-113.64366906474822,-52.1928297362107,-260.5261630695444,08-09
