sym,t,dirn,day
GRAM,1785161700000,-1,07-27
TRB,1785161700000,-1,07-27
DOT,1785161700000,-1,07-27
HYPE,1785161700000,-1,07-27
RENDER,1785161700000,-1,07-27
ARB,1785161700000,-1,07-27
SAND,1785161700000,-1,07-27
ZEN,1785162600000,-1,07-27
FIL,1785162600000,-1,07-27
ARB,1785162600000,-1,07-27
FET,1785162600000,-1,07-27
kBONK,1785162600000,-1,07-27
TRB,1785162600000,-1,07-27
DOGE,1785162600000,-1,07-27
HYPE,1785162600000,-1,07-27
AVNT,1785162600000,-1,07-27
TIA,1785162600000,-1,07-27
POPCAT,1785162600000,-1,07-27
AXS,1785162600000,-1,07-27
DOT,1785162600000,-1,07-27
AVAX,1785162600000,-1,07-27
GRAM,1785162600000,-1,07-27
LINEA,1785162600000,-1,07-27
BTC,1785162600000,-1,07-27
RENDER,1785162600000,-1,07-27
SUSHI,1785162600000,-1,07-27
BNB,1785162600000,-1,07-27
LTC,1785162600000,-1,07-27
PENGU,1785162600000,-1,07-27
APT,1785162600000,-1,07-27
ZEC,1785162600000,-1,07-27
MOVE,1785162600000,-1,07-27
TAO,1785162600000,-1,07-27
TRX,1785162600000,-1,07-27
UNI,1785162600000,-1,07-27
ETC,1785162600000,-1,07-27
STRK,1785162600000,-1,07-27
JUP,1785162600000,-1,07-27
SAND,1785162600000,-1,07-27
CHIP,1785162600000,-1,07-27
POL,1785162600000,-1,07-27
MINA,1785162600000,-1,07-27
SUI,1785162600000,-1,07-27
AR,1785162600000,-1,07-27
HEMI,1785162600000,-1,07-27
MNT,1785162600000,-1,07-27
kFLOKI,1785162600000,-1,07-27
ASTER,1785162600000,-1,07-27
CAKE,1785162600000,-1,07-27
MON,1785162600000,-1,07-27
MOODENG,1785162600000,-1,07-27
kLUNC,1785162600000,-1,07-27
HBAR,1785162600000,-1,07-27
RUNE,1785162600000,-1,07-27
WIF,1785162600000,-1,07-27
DASH,1785162600000,-1,07-27
TRUMP,1785162600000,-1,07-27
ATOM,1785162600000,-1,07-27
ADA,1785162600000,-1,07-27
ALGO,1785162600000,-1,07-27
XRP,1785162600000,-1,07-27
NEAR,1785162600000,-1,07-27
IMX,1785162600000,-1,07-27
OP,1785162600000,-1,07-27
SEI,1785162600000,-1,07-27
ETHFI,1785162600000,-1,07-27
GALA,1785162600000,-1,07-27
BIO,1785162600000,-1,07-27
FARTCOIN,1785162600000,-1,07-27
XLM,1785162600000,-1,07-27
BERA,1785162600000,-1,07-27
XMR,1785162600000,-1,07-27
CC,1785163500000,-1,07-27
CHIP,1785165300000,-1,07-27
FET,1785165300000,-1,07-27
MON,1785165300000,-1,07-27
SKY,1785166200000,-1,07-27
INJ,1785166200000,-1,07-27
HBAR,1785166200000,-1,07-27
MET,1785166200000,-1,07-27
CHIP,1785166200000,-1,07-27
ZEC,1785166200000,-1,07-27
HYPE,1785167100000,-1,07-27
PENGU,1785168000000,-1,07-27
MELANIA,1785168900000,1,07-27
MELANIA,1785169800000,1,07-27
LINEA,1785173400000,1,07-27
EIGEN,1785173400000,-1,07-27
HYPE,1785175200000,-1,07-27
PURR,1785176100000,-1,07-27
NEAR,1785176100000,-1,07-27
HYPE,1785176100000,-1,07-27
TRX,1785176100000,-1,07-27
NEAR,1785177000000,-1,07-27
POL,1785177000000,-1,07-27
HYPE,1785177000000,-1,07-27
PURR,1785177000000,-1,07-27
EIGEN,1785177000000,-1,07-27
RENDER,1785177000000,-1,07-27
kFLOKI,1785177900000,-1,07-27
PURR,1785178800000,-1,07-27
FIL,1785179700000,-1,07-27
KAITO,1785182400000,1,07-27
KAITO,1785186000000,1,07-27
UNI,1785186900000,-1,07-27
ATOM,1785186900000,-1,07-27
RUNE,1785187800000,1,07-27
FIL,1785188700000,-1,07-27
FIL,1785189600000,-1,07-27
DOT,1785189600000,-1,07-27
TIA,1785189600000,-1,07-27
FET,1785189600000,-1,07-27
OP,1785189600000,-1,07-27
NEAR,1785189600000,-1,07-27
kFLOKI,1785190500000,-1,07-27
VIRTUAL,1785190500000,-1,07-27
STRK,1785191400000,-1,07-27
EIGEN,1785191400000,-1,07-27
RENDER,1785191400000,-1,07-27
AXS,1785191400000,-1,07-27
GRAM,1785191400000,-1,07-27
SKY,1785191400000,-1,07-27
POPCAT,1785191400000,-1,07-27
TIA,1785191400000,-1,07-27
VIRTUAL,1785191400000,-1,07-27
kBONK,1785191400000,-1,07-27
AVNT,1785191400000,-1,07-27
SUSHI,1785191400000,-1,07-27
kLUNC,1785191400000,-1,07-27
OP,1785191400000,-1,07-27
JUP,1785191400000,-1,07-27
ICP,1785191400000,-1,07-27
ETH,1785191400000,-1,07-27
UNI,1785191400000,-1,07-27
SUI,1785191400000,-1,07-27
FET,1785191400000,-1,07-27
ALGO,1785191400000,-1,07-27
FARTCOIN,1785191400000,-1,07-27
XRP,1785191400000,-1,07-27
kFLOKI,1785191400000,-1,07-27
DASH,1785191400000,-1,07-27
BTC,1785191400000,-1,07-27
XLM,1785191400000,-1,07-27
SEI,1785191400000,-1,07-27
BERA,1785191400000,-1,07-27
IMX,1785191400000,-1,07-27
kPEPE,1785191400000,-1,07-27
FIL,1785192300000,-1,07-27
CHIP,1785192300000,-1,07-27
EIGEN,1785192300000,-1,07-27
SUI,1785192300000,-1,07-27
ATOM,1785192300000,-1,07-27
MNT,1785192300000,-1,07-27
kBONK,1785192300000,-1,07-27
DOT,1785192300000,-1,07-27
OP,1785192300000,-1,07-27
SAND,1785192300000,-1,07-27
GRAM,1785192300000,-1,07-27
AVAX,1785192300000,-1,07-27
SOL,1785192300000,-1,07-27
BTC,1785192300000,-1,07-27
AXS,1785192300000,-1,07-27
MET,1785192300000,-1,07-27
BCH,1785192300000,-1,07-27
MEGA,1785192300000,-1,07-27
SEI,1785192300000,-1,07-27
ICP,1785192300000,-1,07-27
VIRTUAL,1785192300000,-1,07-27
TIA,1785192300000,-1,07-27
AVNT,1785192300000,-1,07-27
DOGE,1785192300000,-1,07-27
LINK,1785192300000,-1,07-27
HYPE,1785192300000,-1,07-27
ALGO,1785192300000,-1,07-27
SPX,1785192300000,-1,07-27
kLUNC,1785192300000,-1,07-27
JUP,1785192300000,-1,07-27
RENDER,1785192300000,-1,07-27
ETH,1785192300000,-1,07-27
CRV,1785192300000,-1,07-27
XPL,1785192300000,-1,07-27
TAO,1785192300000,-1,07-27
STRK,1785192300000,-1,07-27
TRX,1785192300000,-1,07-27
BRETT,1785192300000,-1,07-27
kPEPE,1785192300000,-1,07-27
BERA,1785192300000,-1,07-27
IMX,1785192300000,-1,07-27
SKY,1785192300000,-1,07-27
FARTCOIN,1785192300000,-1,07-27
ADA,1785192300000,-1,07-27
ORDI,1785192300000,-1,07-27
NEAR,1785192300000,-1,07-27
WLD,1785192300000,-1,07-27
POPCAT,1785192300000,-1,07-27
TRUMP,1785192300000,-1,07-27
DASH,1785192300000,-1,07-27
PNUT,1785192300000,-1,07-27
XLM,1785192300000,-1,07-27
WIF,1785192300000,-1,07-27
AR,1785192300000,-1,07-27
ENA,1785192300000,-1,07-27
PENDLE,1785192300000,-1,07-27
XRP,1785192300000,-1,07-27
SYRUP,1785192300000,-1,07-27
STX,1785192300000,-1,07-27
HEMI,1785192300000,-1,07-27
FET,1785192300000,-1,07-27
ASTER,1785192300000,-1,07-27
ZEN,1785193200000,-1,07-27
XLM,1785193200000,-1,07-27
BIO,1785193200000,-1,07-27
DASH,1785193200000,-1,07-27
XPL,1785193200000,-1,07-27
SUSHI,1785193200000,-1,07-27
POL,1785193200000,-1,07-27
ETH,1785193200000,-1,07-27
LTC,1785193200000,-1,07-27
MNT,1785193200000,-1,07-27
kFLOKI,1785193200000,-1,07-27
PENGU,1785193200000,-1,07-27
STRK,1785193200000,-1,07-27
TRX,1785193200000,-1,07-27
SEI,1785193200000,-1,07-27
AVAX,1785193200000,-1,07-27
GRASS,1785193200000,-1,07-27
STRK,1785194100000,-1,07-27
STRK,1785195000000,-1,07-27
TRX,1785195000000,-1,07-27
AVAX,1785195000000,-1,07-27
ENS,1785195900000,-1,07-27
kSHIB,1785196800000,-1,07-28
XMR,1785196800000,-1,07-28
TRX,1785196800000,-1,07-28
ZEN,1785196800000,-1,07-28
RENDER,1785196800000,-1,07-28
POL,1785196800000,-1,07-28
MEGA,1785196800000,-1,07-28
CAKE,1785196800000,-1,07-28
GRASS,1785196800000,-1,07-28
ORDI,1785197700000,-1,07-28
PAXG,1785197700000,-1,07-28
ENS,1785197700000,-1,07-28
RENDER,1785198600000,-1,07-28
MEGA,1785199500000,-1,07-28
DASH,1785199500000,-1,07-28
XRP,1785199500000,-1,07-28
RENDER,1785199500000,-1,07-28
VIRTUAL,1785200400000,-1,07-28
XMR,1785200400000,-1,07-28
RENDER,1785200400000,-1,07-28
BTC,1785200400000,-1,07-28
SOL,1785200400000,-1,07-28
VVV,1785200400000,-1,07-28
AVNT,1785200400000,-1,07-28
HBAR,1785200400000,-1,07-28
LINEA,1785200400000,-1,07-28
BRETT,1785200400000,-1,07-28
DOGE,1785200400000,-1,07-28
TAO,1785200400000,-1,07-28
PNUT,1785200400000,-1,07-28
ALGO,1785200400000,-1,07-28
SAND,1785200400000,-1,07-28
DASH,1785200400000,-1,07-28
LINK,1785200400000,-1,07-28
IMX,1785200400000,-1,07-28
NEAR,1785200400000,-1,07-28
ZEN,1785200400000,-1,07-28
BERA,1785200400000,-1,07-28
BIO,1785200400000,-1,07-28
kSHIB,1785200400000,-1,07-28
BNB,1785200400000,-1,07-28
FET,1785200400000,-1,07-28
PAXG,1785201300000,-1,07-28
MEGA,1785201300000,-1,07-28
VVV,1785202200000,-1,07-28
TRX,1785202200000,-1,07-28
ALGO,1785202200000,-1,07-28
GRASS,1785203100000,-1,07-28
LINEA,1785203100000,-1,07-28
DASH,1785203100000,-1,07-28
MOVE,1785204000000,-1,07-28
PYTH,1785213000000,-1,07-28
ZEC,1785216600000,-1,07-28
HYPE,1785218400000,-1,07-28
TRUMP,1785218400000,-1,07-28
ZORA,1785218400000,-1,07-28
